insertId,labels.build_id,labels.build_step,logName,receiveLocation,receiveTimestamp,resource.labels.location,resource.labels.reasoning_engine_id,resource.labels.resource_container,resource.type,severity,textPayload,timestamp
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-423","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:23.849131330Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting annotated-types>=0.6.0 (from pydantic<3->google-cloud-aiplatform>=1.112.0->google-cloud-aiplatform[agent_engines,langchain]>=1.112.0->-r ./user_code/requirements.txt (line 1))","'2025-12-03T01:52:23.055804775Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-422","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:22.848146667Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading pyyaml-6.0.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl.metadata (2.4 kB)","'2025-12-03T01:52:22.420798469Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-421","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:22.848146667Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting pyyaml<7.0.0,>=5.3.0 (from langchain-core<2.0.0,>=1.1.0->langchain>=0.3.0->-r ./user_code/requirements.txt (line 3))","'2025-12-03T01:52:22.405224399Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-451","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:21.926838531Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.0-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:21.061198753Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-420","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:20.846829488Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading bottleneck-1.5.0-cp311-cp311-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata (8.1 kB)","'2025-12-03T01:52:20.124529934Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-419","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:20.846829488Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting bottleneck<2.0.0,>=1.4.0 (from langchain-google-vertexai>=2.0.0->-r ./user_code/requirements.txt (line 4))","'2025-12-03T01:52:20.107951966Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-418","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:20.846829488Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading httpx_sse-0.4.2-py3-none-any.whl.metadata (9.5 kB)","'2025-12-03T01:52:19.859904354Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-417","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:20.846829488Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting httpx-sse<1.0.0,>=0.4.0 (from langchain-google-vertexai>=2.0.0->-r ./user_code/requirements.txt (line 4))","'2025-12-03T01:52:19.842152660Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-416","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:19.857804148Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading numexpr-2.14.0-cp311-cp311-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl.metadata (9.1 kB)","'2025-12-03T01:52:19.596843096Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-415","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:19.857804148Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting numexpr<3.0.0,>=2.8.6 (from langchain-google-vertexai>=2.0.0->-r ./user_code/requirements.txt (line 4))","'2025-12-03T01:52:19.579657905Z"
